delta,p,corr_p,t,p_t (two),p_t (one)
0,0.43089,0.43089,-0.17439148914348815,0.8619194469470493,0.4309597234735246
1,0.13045,0.13045,1.1275157989332532,0.2622821936753799,0.13114109683768996
2,0.14465,0.14465,1.0550407917230107,0.29405626706527926,0.14702813353263963
3,0.00398,0.00398,-2.7016710762516554,0.008149078671901441,0.004074539335950721
4,0.33967,0.33967,0.41687109037029757,0.6776875953535308,0.3388437976767654
5,0.49156,0.49156,-0.02262960786055659,0.9819923278247831,0.49099616391239154
6,0.44806,0.44806,-0.12650737438974965,0.8995911807275,0.44979559036375
7,0.24302,0.24302,-0.694393805511774,0.48907853267983814,0.24453926633991907
8,0.03141,0.03141,-1.8973138414365838,0.06073268222800444,0.03036634111400222
9,0.47073,0.47073,0.0765416232422402,0.9391478353446117,0.46957391767230583
10,0.26744,0.26744,-0.6176951349771348,0.5382096062410979,0.26910480312054896
11,0.10889,0.10889,-1.2346580146267547,0.21998497279713067,0.10999248639856533
12,0.04095,0.04095,1.7565214887998222,0.08213547147493135,0.04106773573746567
13,0.15946,0.15946,-0.9954564652817617,0.32196707622250686,0.16098353811125343
14,0.34939,0.34939,-0.3850329407189904,0.7010474284594624,0.3505237142297312
15,0.03253,0.03253,-1.8657395092924864,0.06507617367628425,0.032538086838142126
16,0.09157,0.09157,-1.3312921873557133,0.18620280059121916,0.09310140029560958
17,0.35635,0.35635,-0.3683142165532058,0.7134333909357475,0.35671669546787377
18,0.00885,0.00885,-2.4219285381535505,0.01731056242324318,0.00865528121162159
19,0.00524,0.00524,-2.6466540111265675,0.009486766452262976,0.004743383226131488
20,0.22811,0.22811,-0.7420265978348848,0.4598732081740531,0.22993660408702654
21,0.14362,0.14362,1.0519104004530178,0.29572693403039657,0.14786346701519829
22,0.10905,0.10905,-1.2273591837175313,0.22269416484548307,0.11134708242274154
23,0.01493,0.01493,-2.2065511291249327,0.0297079004777435,0.01485395023887175
24,0.4636,0.4636,0.09057642376378099,0.9280403008981708,0.4640201504490854
25,0.03414,0.03414,-1.8447538089965343,0.06811634723696486,0.03405817361848243
26,0.02261,0.02261,-2.007439086351078,0.047456441622118324,0.023728220811059162
27,0.01395,0.01395,-2.229618421686675,0.028093275562344196,0.014046637781172098
28,0.44208,0.44208,-0.14431724332026508,0.8855489653380388,0.4427744826690194
29,0.14084,0.14084,-1.0743285979479735,0.28532551961001884,0.14266275980500942
30,0.02284,0.02284,-2.0092933024348607,0.04735302443847241,0.023676512219236206
31,0.40848,0.40848,-0.23615609817315905,0.8138088248180952,0.4069044124090476
32,0.02086,0.02086,-2.0444877277639084,0.04361626124708632,0.02180813062354316
33,0.35315,0.35315,-0.3717706904977712,0.7108765110105537,0.35543825550527686
34,0.11841,0.11841,-1.175452054823387,0.2428738740447747,0.12143693702238735
35,0.00358,0.00358,-2.7483311699093576,0.007149958955502317,0.0035749794777511583
36,0.00023,0.00023,-3.589618721591294,0.0005215026116402408,0.0002607513058201204
37,0.01228,0.01228,-2.282254260092527,0.024843883930453194,0.012421941965226597
38,0.01951,0.01951,-2.076143552255505,0.040600892158866635,0.020300446079433317
39,0.12707,0.12707,-1.1362146885109077,0.2586886253658322,0.1293443126829161
40,0.14504,0.14504,-1.0586187396565796,0.292376072848979,0.1461880364244895
41,0.00516,0.00516,-2.618477209205152,0.010241249525547164,0.005120624762773582
42,0.05062,0.05062,-1.6472034159511872,0.10272682526441566,0.05136341263220783
43,0.04509,0.04509,-1.704878952732185,0.09162040636238139,0.045810203181190695
44,0.00318,0.00318,-2.827918359408907,0.00569740281003525,0.002848701405017625
45,0.02454,0.02454,-1.9912254145077293,0.04939090920251017,0.024695454601255086
46,0.0202,0.0202,-2.066875148239557,0.041455173277180374,0.020727586638590187
47,0.10262,0.10262,-1.2601663296021859,0.21064084076333203,0.10532042038166602
48,0.00492,0.00492,-2.6508244519476607,0.009376984610026201,0.0046884923050131005
49,0.04408,0.04408,-1.7016420792586755,0.09201227389355221,0.046006136946776105
50,0.00018,0.00018,-3.769212110474596,0.0002811862298796231,0.00014059311493981155
51,0.00038,0.00038,-3.5269085025890523,0.0006436411370196106,0.0003218205685098053
52,0.0053,0.0053,-2.6390053171247914,0.009674066261293152,0.004837033130646576
53,0.10394,0.10394,-1.256956451159055,0.2118344762935197,0.10591723814675985
54,0.01163,0.01163,-2.31528574511917,0.022683607979726343,0.011341803989863172
55,0.08871,0.08871,-1.3567056916053264,0.17801656360317042,0.08900828180158521
56,7e-05,7e-05,-4.052873972547559,0.00010220542446391389,5.1102712231956944e-05
57,0.00014,0.00014,-3.900053739303391,0.00017667655893922036,8.833827946961018e-05
58,0.06793,0.06793,-1.491852572502938,0.13900299985952944,0.06950149992976472
59,0.03205,0.03205,-1.8619029409797903,0.06566750077567067,0.032833750387835335
60,2e-05,2e-05,-4.531384954308734,1.6564488076383626e-05,8.282244038191813e-06
61,5e-05,5e-05,-3.972749026456986,0.00013622525270741832,6.811262635370916e-05
62,0.02234,0.02234,-2.034689201404333,0.04467087596687833,0.022335437983439167
63,1e-05,1e-05,-4.2804887878545275,4.373823191833311e-05,2.1869115959166555e-05
64,0.01648,0.01648,-2.1587675684955787,0.03339251552373742,0.01669625776186871
65,2e-05,2e-05,-4.726187970062162,7.793203923383403e-06,3.896601961691701e-06
66,0.00013,0.00013,-3.8311059786163173,0.00022629838791146374,0.00011314919395573187
67,3e-05,3e-05,-4.352228933672674,3.34857648940476e-05,1.67428824470238e-05
68,0.01506,0.01506,-2.206380865129297,0.029710357169816373,0.014855178584908186
69,0.00011,0.00011,-3.891511818762556,0.0001822430826885165,9.112154134425825e-05
70,0.03799,0.03799,-1.7737382915730195,0.07922540749523937,0.03961270374761969
71,0.0,1e-05,-5.04893422736279,2.068576673493561e-06,1.0342883367467805e-06
72,0.00183,0.00183,-3.0749751042797437,0.002751374204383377,0.0013756871021916885
73,0.14424,0.14424,-1.053171507915681,0.2949865633464841,0.14749328167324205
74,0.00051,0.00051,-3.4149046603150657,0.0009427702669534072,0.0004713851334767036
75,0.00092,0.00092,-3.2615621591452557,0.0015499015714660134,0.0007749507857330067
76,1e-05,1e-05,-4.619862565231184,1.2526376747244037e-05,6.263188373622018e-06
77,3e-05,3e-05,-4.3344067712001335,3.6230553708049826e-05,1.8115276854024913e-05
78,0.02048,0.02048,-2.0686832873714542,0.041238012180189416,0.020619006090094708
79,1e-05,1e-05,-4.523951509141102,1.7059431674561338e-05,8.529715837280669e-06
80,0.00062,0.00062,-3.4875010846156265,0.0007444407550332726,0.0003722203775166363
81,0.0,1e-05,-6.559341242913221,2.6419981249386526e-09,1.3209990624693263e-09
82,0.0,1e-05,-5.204458068006912,1.0929795071337684e-06,5.464897535668842e-07
83,0.0,1e-05,-5.607644963777669,1.897648561019231e-07,9.488242805096155e-08
84,0.0003,0.0003,-3.6382617655416967,0.0004401417899299268,0.0002200708949649634
85,0.0,1e-05,-4.825344660183369,5.2516850368002585e-06,2.6258425184001292e-06
86,0.0,1e-05,-4.996162101338956,2.6416707317587898e-06,1.3208353658793949e-06
87,1e-05,1e-05,-5.002481333187005,2.4964430122358903e-06,1.2482215061179452e-06
88,0.00237,0.00237,-2.8904492852784176,0.0047373874045437345,0.0023686937022718672
89,1e-05,1e-05,-4.823035837028094,5.186560918878535e-06,2.5932804594392676e-06
90,1e-05,1e-05,-5.475140811663039,3.428161824793878e-07,1.714080912396939e-07
91,0.00178,0.00178,-3.014429261121741,0.0033016211689528415,0.0016508105844764208
92,0.0003,0.0003,-3.6251855475210477,0.00046266533445487863,0.00023133266722743932
93,0.00037,0.00037,-3.5494149173269163,0.0006023349575600401,0.00030116747878002005
94,7e-05,7e-05,-3.9124517585034964,0.00017663070891084143,8.831535445542071e-05
95,4e-05,4e-05,-4.480413208083609,2.0312873069333017e-05,1.0156436534666509e-05
96,1e-05,1e-05,-4.75238966897115,6.904303762808085e-06,3.4521518814040423e-06
97,0.00108,0.00108,-3.1526324043394456,0.002167667465599343,0.0010838337327996714
98,0.0,1e-05,-5.1336432838136306,1.4927513015382771e-06,7.463756507691386e-07
99,0.0,1e-05,-5.27123880230548,8.64634226143316e-07,4.32317113071658e-07
100,0.0,1e-05,-5.1913563177912625,1.1387691240961325e-06,5.693845620480663e-07
101,1e-05,1e-05,-4.581189003792542,1.3919308247104237e-05,6.959654123552118e-06
102,1e-05,1e-05,-4.941052707858415,3.30208590772346e-06,1.65104295386173e-06
103,0.0,1e-05,-5.656040402993788,1.5513751824253234e-07,7.756875912126617e-08
104,0.0,1e-05,-5.725781323072855,1.1674405138529161e-07,5.8372025692645807e-08
105,7e-05,7e-05,-4.169755518428776,6.779040232176164e-05,3.389520116088082e-05
106,0.0,1e-05,-5.029729602580388,2.227905415992857e-06,1.1139527079964285e-06
107,0.0,1e-05,-5.41830453154362,4.362935516081436e-07,2.181467758040718e-07
108,0.0,1e-05,-6.870419664430388,6.093892102144956e-10,3.046946051072478e-10
109,0.0,1e-05,-5.23119186713784,9.630005069105059e-07,4.815002534552529e-07
110,0.0,1e-05,-5.45171775758382,4.805873242093713e-07,2.4029366210468563e-07
111,0.0,1e-05,-5.538715314541022,2.5796207924627074e-07,1.2898103962313537e-07
112,0.0,1e-05,-5.789182193579357,8.542619329477781e-08,4.271309664738891e-08
113,0.0,1e-05,-5.850473451903068,6.698975586026411e-08,3.3494877930132055e-08
114,0.0,1e-05,-5.535401491614331,2.6113334045404825e-07,1.3056667022702413e-07
115,0.0,1e-05,-8.090065914961784,1.6905459202381011e-12,8.452729601190506e-13
116,0.0,1e-05,-6.025058891525096,3.0378979650996456e-08,1.5189489825498228e-08
117,0.0,1e-05,-8.28597689924305,6.32582467982298e-13,3.16291233991149e-13
118,0.0,1e-05,-5.519462404430121,2.787242912934492e-07,1.393621456467246e-07
119,0.0,1e-05,-5.948092538941595,4.2236254713854966e-08,2.1118127356927483e-08
120,0.0,1e-05,-4.961488227632018,2.956493349886224e-06,1.478246674943112e-06
121,0.0,1e-05,-5.5678821258283095,2.2570546294572698e-07,1.1285273147286349e-07
122,2e-05,2e-05,-4.3132378302351055,3.844031105114538e-05,1.922015552557269e-05
123,0.0,1e-05,-7.44257417561108,3.8439721621473524e-11,1.9219860810736762e-11
124,0.0,1e-05,-7.577619348489564,2.1029084864102325e-11,1.0514542432051163e-11
125,0.0,1e-05,-4.848186871382724,4.682501587748907e-06,2.3412507938744536e-06
126,0.0,1e-05,-6.9186391159817315,4.860868309541122e-10,2.430434154770561e-10
127,0.0,1e-05,-6.636775029008105,2.457375486413823e-09,1.2286877432069115e-09
128,0.0,1e-05,-6.372212304673326,6.7114335435700535e-09,3.3557167717850268e-09
129,0.0,1e-05,-5.829490231851711,7.263723975358091e-08,3.6318619876790456e-08
130,0.0,1e-05,-6.129385841010894,1.852351277718547e-08,9.261756388592735e-09
131,0.0,1e-05,-7.628924451293125,1.5794508728187446e-11,7.897254364093723e-12
132,0.0,1e-05,-7.279521519624134,8.58412377164357e-11,4.292061885821785e-11
133,0.0,1e-05,-6.062309182916023,2.5300034630207583e-08,1.2650017315103792e-08
134,0.0,1e-05,-6.377548090310221,5.976850019770109e-09,2.9884250098850547e-09
135,0.0,1e-05,-7.146597608195378,1.596854233515199e-10,7.984271167575995e-11
136,0.0,1e-05,-6.0283856901464175,2.977188091310492e-08,1.488594045655246e-08
137,0.0,1e-05,-7.715127672152618,1.0828405912981577e-11,5.414202956490789e-12
138,0.0,1e-05,-8.606683022932753,1.2678712778968544e-13,6.339356389484272e-14
139,0.0,1e-05,-9.180768906869368,7.48041783772093e-15,3.740208918860465e-15
140,0.0,1e-05,-5.625542078249289,1.784898724656359e-07,8.924493623281795e-08
141,0.0,1e-05,-8.800659712952545,6.964585250979559e-14,3.4822926254897796e-14
142,0.0,1e-05,-7.631781472688713,2.0050348650978155e-11,1.0025174325489077e-11
143,0.0,1e-05,-6.210027162020794,1.509818146345943e-08,7.549090731729715e-09
144,0.0,1e-05,-6.88940342084214,5.67752828865789e-10,2.838764144328945e-10
145,0.0,1e-05,-5.870007401526534,6.522088679253077e-08,3.2610443396265383e-08
146,0.0,1e-05,-7.168659329593739,1.9088777352529694e-10,9.544388676264847e-11
147,0.0,1e-05,-7.091522961033753,2.456111866891074e-10,1.228055933445537e-10
148,0.0,1e-05,-8.001424063471338,2.5598089451145368e-12,1.2799044725572684e-12
149,0.0,1e-05,-7.033536172185733,3.0181922707454996e-10,1.5090961353727498e-10
150,0.0,1e-05,-7.722417182355277,1.214783241294516e-11,6.07391620647258e-12
151,0.0,1e-05,-9.774706417245262,6.623884015815554e-16,3.311942007907777e-16
152,0.0,1e-05,-7.867322445617301,4.970837910721015e-12,2.4854189553605075e-12
153,0.0,1e-05,-7.01839223154666,4.0844522668294543e-10,2.0422261334147272e-10
154,1e-05,1e-05,-4.635438600394443,1.1005878378476685e-05,5.502939189238342e-06
155,0.0,1e-05,-7.9790970990293655,2.8154256052400427e-12,1.4077128026200214e-12
156,0.0,1e-05,-7.5387045190572985,2.6573894754960127e-11,1.3286947377480063e-11
157,0.0,1e-05,-7.504323453702618,3.427434372238341e-11,1.7137171861191704e-11
158,0.0,1e-05,-6.9089317245830975,4.98449978063889e-10,2.492249890319445e-10
159,0.0,1e-05,-9.422722469509328,2.486266536824936e-15,1.243133268412468e-15
160,0.0,1e-05,-7.547263499601401,2.4083087507732896e-11,1.2041543753866448e-11
161,0.0,1e-05,-8.13801433861047,1.7267587326953217e-12,8.633793663476608e-13
162,0.0,1e-05,-7.021955379791574,2.958222197181593e-10,1.4791110985907964e-10
163,0.0,1e-05,-7.60428170160761,1.77358170913606e-11,8.8679085456803e-12
164,0.0,1e-05,-9.668063605774867,6.369193805149848e-16,3.184596902574924e-16
165,0.0,1e-05,-6.878020517349416,5.770958370504677e-10,2.8854791852523384e-10
166,0.0,1e-05,-7.4083508731166425,4.842288080902222e-11,2.421144040451111e-11
167,0.0,1e-05,-9.61811411145647,1.3319118049611774e-15,6.659559024805887e-16
168,0.0,1e-05,-8.91608713107741,2.7367485578725093e-14,1.3683742789362546e-14
169,0.0,1e-05,-8.36304763121184,4.3167930896148203e-13,2.1583965448074102e-13
170,0.0,1e-05,-7.2600948934813685,9.378267408302819e-11,4.6891337041514097e-11
171,0.0,1e-05,-7.670022776765595,1.5125270051391824e-11,7.562635025695912e-12
172,0.0,1e-05,-7.576055177232539,2.1925791013353373e-11,1.0962895506676686e-11
173,0.0,1e-05,-6.876598213229263,5.771414925294701e-10,2.8857074626473504e-10
174,0.0,1e-05,-8.12911423759873,1.3961981501573703e-12,6.980990750786851e-13
175,0.0,1e-05,-8.454807924224667,2.8892626964076596e-13,1.4446313482038298e-13
176,0.0,1e-05,-8.967580543268523,2.1041302788529145e-14,1.0520651394264573e-14
177,0.0,1e-05,-9.504185524078936,1.4726277251043381e-15,7.363138625521691e-16
178,0.0,1e-05,-7.921697646026422,1.0142771187097469e-11,5.0713855935487345e-12
179,0.0,1e-05,-8.980367774710201,2.0246760693749263e-14,1.0123380346874632e-14
180,0.0,1e-05,-10.319174890053372,2.4582297186000014e-17,1.2291148593000007e-17
181,0.0,1e-05,-10.394070525254257,2.0926935259276836e-17,1.0463467629638418e-17
182,0.0,1e-05,-10.583236252518132,8.0676614854547e-18,4.03383074272735e-18
183,0.0,1e-05,-9.796117911885968,3.3979052615053726e-16,1.6989526307526863e-16
184,0.0,1e-05,-8.533586167412867,1.8202516094682296e-13,9.101258047341148e-14
185,0.0,1e-05,-8.98631232539473,2.0483363876295224e-14,1.0241681938147612e-14
186,0.0,1e-05,-9.375423194062556,2.7514779394735106e-15,1.3757389697367553e-15
187,0.0,1e-05,-11.230240141991219,3.452310603686649e-19,1.7261553018433246e-19
188,0.0,1e-05,-9.513222346691848,1.5248818391802725e-15,7.624409195901362e-16
189,0.0,1e-05,-9.24993112875978,6.950402661780936e-15,3.475201330890468e-15
190,0.0,1e-05,-11.147558262048925,6.839719336335708e-19,3.419859668167854e-19
191,0.0,1e-05,-9.711195022975598,5.927583323052597e-16,2.9637916615262986e-16
192,0.0,1e-05,-7.825216318965744,5.996722419821021e-12,2.9983612099105103e-12
193,0.0,1e-05,-8.24988518884525,7.702550673646853e-13,3.8512753368234265e-13
194,0.0,1e-05,-10.840501046079478,1.9061529515707094e-18,9.530764757853547e-19
195,0.0,1e-05,-9.22542376255235,5.9730354203442926e-15,2.9865177101721463e-15
196,0.0,1e-05,-9.979250542871693,1.431917879129945e-16,7.159589395649725e-17
197,0.0,1e-05,-9.069042362498289,1.8023195352812396e-14,9.011597676406198e-15
198,0.0,1e-05,-9.803186230426116,3.3323138493050184e-16,1.6661569246525092e-16
199,0.0,1e-05,-9.457542277336549,1.9344909140742242e-15,9.672454570371121e-16
200,0.0,1e-05,-8.634095696751148,1.1593617665320292e-13,5.796808832660146e-14
201,0.0,1e-05,-9.76320935060794,4.4195205709429494e-16,2.2097602854714747e-16
202,0.0,1e-05,-9.709749581835348,6.540663850720043e-16,3.2703319253600216e-16
203,0.0,1e-05,-10.024001274064723,1.1688369576943142e-16,5.844184788471571e-17
204,0.0,1e-05,-8.521207911533986,2.4169856579952027e-13,1.2084928289976013e-13
205,0.0,1e-05,-8.022676246120492,2.9467424674402856e-12,1.4733712337201428e-12
206,0.0,1e-05,-8.44359764156733,2.854581908168163e-13,1.4272909540840814e-13
207,0.0,1e-05,-12.026038126255862,9.329282819660537e-21,4.664641409830268e-21
208,0.0,1e-05,-9.982436837019584,1.537022303789686e-16,7.68511151894843e-17
209,0.0,1e-05,-7.399294825941948,4.895602206093215e-11,2.4478011030466075e-11
210,0.0,1e-05,-11.05735278561212,7.030127994293626e-19,3.515063997146813e-19
211,0.0,1e-05,-9.538606284049907,1.2149269388813207e-15,6.074634694406603e-16
212,0.0,1e-05,-10.413443967771427,2.4583857288172976e-17,1.2291928644086488e-17
213,0.0,1e-05,-12.274628227322774,1.6201154347099227e-21,8.100577173549613e-22
214,0.0,1e-05,-10.629005250769858,1.2233883097634872e-17,6.116941548817436e-18
215,0.0,1e-05,-12.520505286925827,6.01594240965836e-22,3.00797120482918e-22
216,0.0,1e-05,-9.723741129749532,5.95984182026436e-16,2.97992091013218e-16
217,0.0,1e-05,-10.305960537307294,3.472613217701602e-17,1.736306608850801e-17
218,0.0,1e-05,-10.457084648087253,1.2524738576459909e-17,6.262369288229954e-18
219,0.0,1e-05,-9.652769327686759,7.048481388004594e-16,3.524240694002297e-16
220,0.0,1e-05,-12.806442777896908,1.202993118401958e-22,6.01496559200979e-23
221,0.0,1e-05,-9.356315887117363,3.0611534630857373e-15,1.5305767315428687e-15
222,0.0,1e-05,-12.090602851920378,4.274730938025924e-21,2.137365469012962e-21
223,0.0,1e-05,-10.950599809962021,1.5583236548573316e-18,7.791618274286658e-19
224,0.0,1e-05,-11.134777140361752,4.284778216077709e-19,2.1423891080388546e-19
225,0.0,1e-05,-11.743086700195814,4.446962852810432e-20,2.223481426405216e-20
226,0.0,1e-05,-10.709963667997997,3.705687608053512e-18,1.852843804026756e-18
227,0.0,1e-05,-12.163649873017443,3.3176971978643723e-21,1.6588485989321861e-21
228,0.0,1e-05,-13.151893946399914,2.2788174339553542e-23,1.1394087169776771e-23
229,0.0,1e-05,-11.822917361198217,1.4642188672983065e-20,7.321094336491532e-21
230,0.0,1e-05,-9.88743143481322,3.099057965399846e-16,1.549528982699923e-16
231,0.0,1e-05,-11.738672591036465,2.3803566350603447e-20,1.1901783175301724e-20
