100,1000,10000,100000,key
0.51,0.501,0.5072,0.50138,same
0.42,0.48,0.5029,0.4986,same
0.51,0.509,0.5006,0.50187,same
0.53,0.501,0.5097,0.50254,same
0.5,0.483,0.5054,0.5006,same
0.5,0.492,0.4987,0.4977,same
0.53,0.506,0.5023,0.50155,same
0.41,0.48,0.4997,0.50227,same
0.5,0.497,0.4956,0.50102,same
0.51,0.498,0.4951,0.5001,same
0.47,0.495,0.4981,0.4992,same
0.47,0.516,0.4965,0.50019,same
0.47,0.498,0.5062,0.49939,same
0.4,0.501,0.5032,0.50077,same
0.51,0.504,0.4963,0.5019,same
0.56,0.496,0.5025,0.49887,same
0.42,0.503,0.4954,0.4994,same
0.48,0.508,0.4991,0.50141,same
0.47,0.518,0.5068,0.49904,same
0.62,0.494,0.4968,0.50073,same
0.57,0.523,0.5017,0.4986,same
0.47,0.489,0.5005,0.49951,same
0.52,0.508,0.489,0.50081,same
0.42,0.544,0.4929,0.50324,same
0.43,0.497,0.4969,0.50219,same
0.43,0.475,0.4881,0.50036,same
0.42,0.507,0.496,0.49955,same
0.47,0.514,0.5053,0.49837,same
0.5,0.504,0.499,0.50001,same
0.55,0.495,0.5084,0.49952,same
0.45,0.51,0.5037,0.50124,same
0.57,0.478,0.5086,0.49882,same
0.37,0.51,0.4946,0.50272,same
0.43,0.478,0.4982,0.49793,same
0.45,0.517,0.5033,0.49854,same
0.37,0.506,0.5013,0.50213,same
0.48,0.496,0.4974,0.49946,same
0.44,0.514,0.5007,0.50066,same
0.52,0.488,0.5027,0.49847,same
0.44,0.505,0.4995,0.49825,same
0.49,0.471,0.4995,0.49812,same
0.6,0.484,0.4982,0.49908,same
0.51,0.518,0.5013,0.50051,same
0.4,0.488,0.5016,0.49788,same
0.53,0.483,0.5035,0.50059,same
0.44,0.493,0.4985,0.49963,same
0.48,0.508,0.5023,0.5005,same
0.58,0.478,0.4988,0.49962,same
0.43,0.514,0.5031,0.50089,same
0.49,0.49,0.4956,0.49998,same
0.41,0.373,0.3954,0.39392,stat
0.37,0.405,0.3926,0.39672,stat
0.46,0.371,0.392,0.3933,stat
