delta,p,corr_p,t,p_t (two),p_t (one)
-200,1e-05,1e-05,11.154819038979015,7.771455185253312e-19,3.885727592626656e-19
-199,1e-05,1e-05,14.356868278281123,1.8049096406649332e-24,9.024548203324666e-25
-198,1e-05,1e-05,10.700830037152008,4.628645265476522e-18,2.314322632738261e-18
-197,1e-05,1e-05,10.691316537580276,4.0216378015036e-18,2.0108189007518e-18
-196,1e-05,1e-05,7.1915424927785985,1.6467457991541222e-10,8.233728995770611e-11
-195,1e-05,1e-05,7.482458381572575,3.631866618387104e-11,1.815933309193552e-11
-194,1e-05,1e-05,10.924911058514182,1.7675235113054766e-18,8.837617556527383e-19
-193,1e-05,1e-05,8.134749330679098,1.3943524314812113e-12,6.971762157406057e-13
-192,1e-05,1e-05,10.835033109075866,2.227508191075516e-18,1.113754095537758e-18
-191,1e-05,1e-05,11.559767512311701,5.463644933393685e-20,2.7318224666968423e-20
-190,1e-05,1e-05,6.277030804956729,1.6364908039986005e-08,8.182454019993003e-09
-189,1e-05,1e-05,10.319241343532882,2.5662687528845254e-17,1.2831343764422627e-17
-188,1e-05,1e-05,12.172036994689957,3.647274973525056e-21,1.823637486762528e-21
-187,1e-05,1e-05,8.943194545103317,2.6986570599362246e-14,1.3493285299681123e-14
-186,1e-05,1e-05,10.67570400704523,4.419087508556111e-18,2.2095437542780554e-18
-185,1e-05,1e-05,8.637990920216327,1.326051958053658e-13,6.63025979026829e-14
-184,1e-05,1e-05,8.690571253102606,1.2557339454033826e-13,6.278669727016913e-14
-183,1e-05,1e-05,9.894529039507889,2.076230476870141e-16,1.0381152384350705e-16
-182,1e-05,1e-05,9.664732921347948,2.507211294115728e-15,1.253605647057864e-15
-181,1e-05,1e-05,7.430436416838718,4.488764286621512e-11,2.244382143310756e-11
-180,1e-05,1e-05,6.779361067198382,1.0555740627653638e-09,5.277870313826819e-10
-179,1e-05,1e-05,9.079910459477984,1.2021461249170779e-14,6.010730624585389e-15
-178,1e-05,1e-05,8.07317203684221,2.0251301629842302e-12,1.0125650814921151e-12
-177,1e-05,1e-05,9.588270530563744,1.0384171478551688e-15,5.192085739275844e-16
-176,1e-05,1e-05,6.823304575219226,7.691508825467584e-10,3.845754412733792e-10
-175,1e-05,1e-05,9.167684024022273,7.86258227636594e-15,3.93129113818297e-15
-174,1e-05,1e-05,7.778842414566535,8.69142913542004e-12,4.34571456771002e-12
-173,1e-05,1e-05,9.027338361421519,1.721117547233913e-14,8.605587736169564e-15
-172,1e-05,1e-05,7.986244368204339,2.759269585188659e-12,1.3796347925943295e-12
-171,1e-05,1e-05,9.27914608261218,4.690831840834252e-15,2.345415920417126e-15
-170,1e-05,1e-05,6.653875158979902,1.6462400790294926e-09,8.231200395147463e-10
-169,1e-05,1e-05,6.778133399542419,1.3396866994406133e-09,6.698433497203066e-10
-168,1e-05,1e-05,8.643295059960137,1.0864775287453673e-13,5.432387643726836e-14
-167,1e-05,1e-05,5.394921038320418,4.780971623461178e-07,2.390485811730589e-07
-166,1e-05,1e-05,5.347584132576111,5.837260395227599e-07,2.9186301976137993e-07
-165,1e-05,1e-05,8.514633429872557,2.6926675103682063e-13,1.3463337551841031e-13
-164,1e-05,1e-05,7.634008212143842,1.78160638502735e-11,8.90803192513675e-12
-163,1e-05,1e-05,9.83724075772402,2.937668559473079e-16,1.4688342797365396e-16
-162,1e-05,1e-05,7.270605063162154,9.019150759840742e-11,4.509575379920371e-11
-161,1e-05,1e-05,6.630668320235882,1.9294332445658608e-09,9.647166222829304e-10
-160,1e-05,1e-05,7.653753911668812,1.4688401147679315e-11,7.344200573839658e-12
-159,1e-05,1e-05,6.595125127620699,2.2475476959312014e-09,1.1237738479656007e-09
-158,0.0001,0.0001,4.001795706701031,0.0001226216490929017,6.131082454645085e-05
-157,1e-05,1e-05,6.4499795653223435,4.256682820604619e-09,2.1283414103023097e-09
-156,1e-05,1e-05,5.339266122178059,6.15787164946317e-07,3.078935824731585e-07
-155,1e-05,1e-05,8.288286757952354,6.24196896341346e-13,3.12098448170673e-13
-154,1e-05,1e-05,5.033145133995778,2.1934381753960766e-06,1.0967190876980383e-06
-153,1e-05,1e-05,8.764978265560933,5.790976567361672e-14,2.895488283680836e-14
-152,1e-05,1e-05,6.47627261650593,4.5824481439248e-09,2.2912240719624e-09
