type,n,p,corr_p
stat,100,0.46,0.46
stat,100,0.38,0.38
stat,100,0.4,0.4
stat,100,0.38,0.38
stat,100,0.41,0.41
stat,100,0.35,0.35
stat,100,0.44,0.44
stat,100,0.48,0.48
stat,100,0.49,0.49
stat,100,0.43,0.43
stat,100,0.41,0.41
stat,100,0.48,0.48
stat,100,0.44,0.44
stat,100,0.47,0.47
stat,100,0.38,0.38
stat,100,0.39,0.39
stat,1000,0.373,0.373
stat,1000,0.405,0.405
stat,1000,0.371,0.371
stat,1000,0.397,0.397
stat,1000,0.371,0.371
stat,1000,0.391,0.391
stat,1000,0.42,0.42
stat,1000,0.405,0.405
stat,1000,0.383,0.383
stat,1000,0.416,0.416
stat,1000,0.397,0.397
stat,1000,0.432,0.432
stat,1000,0.4,0.4
stat,1000,0.404,0.404
stat,1000,0.365,0.365
stat,1000,0.386,0.386
stat,1000,0.404,0.404
stat,1000,0.385,0.385
stat,1000,0.422,0.422
stat,1000,0.393,0.393
stat,1000,0.384,0.384
stat,1000,0.396,0.396
stat,1000,0.39,0.39
stat,1000,0.422,0.422
stat,1000,0.414,0.414
stat,1000,0.394,0.394
stat,1000,0.378,0.378
stat,1000,0.371,0.371
stat,1000,0.381,0.381
stat,1000,0.384,0.384
stat,1000,0.383,0.383
stat,1000,0.392,0.392
stat,1000,0.391,0.391
stat,1000,0.385,0.385
stat,1000,0.388,0.388
stat,1000,0.393,0.393
stat,1000,0.409,0.409
stat,1000,0.375,0.375
stat,1000,0.39,0.39
stat,1000,0.405,0.405
stat,1000,0.412,0.412
stat,1000,0.392,0.392
stat,1000,0.42,0.42
stat,1000,0.396,0.396
stat,1000,0.394,0.394
stat,1000,0.42,0.42
stat,1000,0.403,0.403
stat,1000,0.389,0.389
stat,1000,0.413,0.413
stat,1000,0.406,0.406
stat,10000,0.3954,0.3954
stat,10000,0.3926,0.3926
stat,10000,0.392,0.392
stat,10000,0.3888,0.3888
stat,10000,0.3964,0.3964
stat,10000,0.3933,0.3933
stat,10000,0.3922,0.3922
stat,10000,0.3993,0.3993
stat,10000,0.4011,0.4011
stat,10000,0.3886,0.3886
stat,10000,0.3914,0.3914
stat,10000,0.3989,0.3989
stat,10000,0.4019,0.4019
stat,10000,0.3969,0.3969
stat,10000,0.4008,0.4008
stat,10000,0.3998,0.3998
stat,10000,0.3894,0.3894
stat,10000,0.3936,0.3936
stat,10000,0.3907,0.3907
stat,10000,0.3964,0.3964
stat,10000,0.394,0.394
stat,10000,0.3954,0.3954
stat,10000,0.3878,0.3878
