type,n,p
stat,10000,0.0632
stat,10000,0.0656
stat,10000,0.07
stat,10000,0.0666
stat,10000,0.0635
stat,10000,0.0655
stat,10000,0.0701
stat,10000,0.0684
stat,10000,0.0734
stat,10000,0.0662
stat,10000,0.072
stat,10000,0.071
stat,10000,0.0626
stat,100000,0.06799
stat,100000,0.06693
stat,100000,0.06633
stat,100000,0.06758
stat,100000,0.06643
stat,100000,0.06519
stat,100000,0.06621
stat,100000,0.06612
stat,100000,0.06685
stat,100000,0.06713
stat,100000,0.06581
stat,100000,0.06627
stat,100000,0.06638
stat,100000,0.06651
stat,100000,0.06607
stat,100000,0.06797
stat,100000,0.06651
stat,100000,0.06643
stat,100000,0.06649
stat,100000,0.06665
stat,100000,0.06623
stat,100000,0.06603
stat,100000,0.06662
stat,100000,0.06605
stat,100000,0.06667
stat,100000,0.06817
stat,100000,0.06676
stat,100000,0.06651
stat,100000,0.06662
stat,100000,0.06491
stat,100000,0.06629
stat,100000,0.066
stat,100000,0.06623
stat,100000,0.06627
stat,100000,0.06628
stat,100000,0.0664
stat,100000,0.06636
stat,100000,0.0681
stat,100000,0.06633
stat,100000,0.06685
stat,100000,0.06677
stat,100000,0.06674
stat,100000,0.06588
stat,100000,0.06589
stat,100000,0.06621
stat,100000,0.06645
stat,100000,0.06463
stat,100000,0.0663
stat,100000,0.06766
stat,100000,0.06698
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0002
diff,10000,0.0002
diff,10000,0.0003
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0003
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0002
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0002
diff,10000,0.0004
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0002
diff,10000,0.0004
diff,10000,0.0001
diff,10000,0.0002
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0003
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0002
diff,10000,0.0001
diff,10000,0.0003
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0002
diff,10000,0.0001
diff,100000,7e-05
diff,100000,9e-05
diff,100000,0.00011
diff,100000,0.00012
diff,100000,0.00014
diff,100000,0.00014
diff,100000,0.00012
diff,100000,0.00011
diff,100000,0.00011
diff,100000,0.00019
diff,100000,8e-05
diff,100000,8e-05
diff,100000,6e-05
diff,100000,0.0001
diff,100000,8e-05
diff,100000,0.00011
diff,100000,8e-05
diff,100000,9e-05
diff,100000,0.00012
diff,100000,0.00012
diff,100000,0.00013
diff,100000,0.00014
diff,100000,0.00013
diff,100000,0.00016
diff,100000,8e-05
diff,100000,0.00014
diff,100000,0.00016
diff,100000,6e-05
diff,100000,7e-05
diff,100000,0.00013
diff,100000,0.00011
diff,100000,0.00013
diff,100000,0.00012
diff,100000,0.00013
diff,100000,0.00013
diff,100000,0.00019
diff,100000,9e-05
diff,100000,0.00015
diff,100000,8e-05
diff,100000,6e-05
diff,100000,0.00012
diff,100000,0.00013
diff,100000,0.00014
diff,100000,0.00012
diff,100000,9e-05
diff,100000,0.00017
diff,100000,0.00015
diff,100000,0.00014
diff,100000,8e-05
diff,100000,0.00016
