dist,p,t,p_t_2,p_t_1,oddsratio,p_f_2,p_f_1,chi2,p_chi_2,p_chi_1,dof,ex
0.4,4e-05,3.202650127743439,0.005664519489179736,0.002832259744589868,1.640379608633577,0.00013558647811354245,6.779323905677122e-05,14.528372701187694,0.00013806445073129804,6.903222536564902e-05,1,"[[ 226.5  273.5]
 [ 226.5  273.5]]"
0.4001,1e-05,4.493373431799454,0.00042300457522082637,0.00021150228761041318,1.7232297063903281,2.6832167105843184e-05,1.3416083552921592e-05,17.579330968437112,2.755672491469354e-05,1.377836245734677e-05,1,"[[ 226.5  273.5]
 [ 226.5  273.5]]"
0.4002,0.00047,3.3659484456164037,0.00451202708254776,0.00225601354127388,1.527640230538193,0.0011469715457181784,0.0005734857728590892,10.556006493506494,0.0011581113398375913,0.0005790556699187957,1,"[[ 220.  280.]
 [ 220.  280.]]"
0.4003,0.01423,2.4632689664550855,0.024190085972593096,0.012095042986296548,1.327678537991986,0.030594109817762057,0.015297054908881029,4.67261387475293,0.03064724927191489,0.015323624635957446,1,"[[ 224.5  275.5]
 [ 224.5  275.5]]"
0.4004,0.00811,3.440358349615704,0.0030327109081693246,0.0015163554540846623,1.362173805302987,0.018370416666610035,0.009185208333305018,5.556006493506493,0.018417380502646415,0.009208690251323207,1,"[[ 220.  280.]
 [ 220.  280.]]"
0.40049999999999997,0.00039,4.159795840828207,0.0008791697803797862,0.0004395848901898931,1.5545093115714586,0.0008068126242391348,0.0004034063121195674,11.20359973648338,0.0008163880727525207,0.00040819403637626036,1,"[[ 203.5  296.5]
 [ 203.5  296.5]]"
0.40059999999999996,1e-05,4.533329806741469,0.0002573779095295812,0.0001286889547647906,1.745011661052086,1.6204744427528047e-05,8.102372213764023e-06,18.535220526634358,1.6679350205017872e-05,8.339675102508936e-06,1,"[[ 238.5  261.5]
 [ 238.5  261.5]]"
0.40069999999999995,0.00238,2.8777367532998555,0.010045358075315184,0.005022679037657592,1.4317111459968603,0.006074969216577726,0.003037484608288863,7.5191944823996355,0.006104497170408862,0.003052248585204431,1,"[[ 218.  282.]
 [ 218.  282.]]"
0.40079999999999993,0.00014,3.1863016156057005,0.005834746366094771,0.0029173731830473854,1.576036866359447,0.00046368505578153323,0.00023184252789076662,12.23230460662526,0.00046969147076444994,0.00023484573538222497,1,"[[ 224.  276.]
 [ 224.  276.]]"
0.4008999999999999,1e-05,5.105898420013533,7.677861048369032e-05,3.838930524184516e-05,1.9285157503782842,3.746111995123741e-07,1.8730559975618705e-07,25.712001478440087,3.9635452803981096e-07,1.9817726401990548e-07,1,"[[ 233.5  266.5]
 [ 233.5  266.5]]"
0.4009999999999999,0.00017,4.504681811566267,0.00027466010812831314,0.00013733005406415657,1.6020278833967048,0.00032368529566665196,0.00016184264783332598,12.899457449477811,0.0003286773949867267,0.00016433869749336334,1,"[[ 208.5  291.5]
 [ 208.5  291.5]]"
0.4010999999999999,0.02055,1.750962096526665,0.10106619887090554,0.05053309943545277,1.2974254112835766,0.04811299580252471,0.024056497901262356,3.9040283397520272,0.04817047508726477,0.024085237543632385,1,"[[ 219.  281.]
 [ 219.  281.]]"
0.4011999999999999,0.00122,3.394112549695427,0.0032475107417773473,0.0016237553708886737,1.4772130756382724,0.0027584287420269775,0.0013792143710134887,8.948246807959038,0.002777360085092329,0.0013886800425461645,1,"[[ 222.  278.]
 [ 222.  278.]]"
0.4012999999999999,0.00597,3.2563521247755407,0.0046022229404375685,0.0023011114702187843,1.3806695978225698,0.013330633291565395,0.006665316645782697,6.119345338676194,0.01337103107195078,0.00668551553597539,1,"[[ 231.  269.]
 [ 231.  269.]]"
0.40139999999999987,0.00044,2.8193486225275617,0.011356586915537766,0.005678293457768883,1.5196869650281242,0.0013780526667898192,0.0006890263333949096,10.217802681968848,0.001390914641290347,0.0006954573206451735,1,"[[ 213.5  286.5]
 [ 213.5  286.5]]"
0.40149999999999986,0.0003,3.879196455145665,0.0011010143790816914,0.0005505071895408457,1.5510204081632653,0.0007386967587593048,0.0003693483793796524,11.368603389940263,0.0007469602220822695,0.00037348011104113476,1,"[[ 223.  277.]
 [ 223.  277.]]"
0.40159999999999985,0.10787,1.6342041321085266,0.1204368732970686,0.0602184366485343,1.1756728269271308,0.2269453857050857,0.11347269285254286,1.4597890786749481,0.22696368351604473,0.11348184175802237,1,"[[ 224.  276.]
 [ 224.  276.]]"
0.40169999999999983,0.0192,2.356475016682607,0.031066621148105242,0.015533310574052621,1.3075374636546633,0.041483744865622146,0.020741872432811073,4.15383804088123,0.041540266017329165,0.020770133008664583,1,"[[ 220.5  279.5]
 [ 220.5  279.5]]"
0.4017999999999998,0.02484,2.574409875465939,0.019209490273753894,0.009604745136876947,1.2870476684321641,0.05574035735789286,0.02787017867894643,3.6580756083582964,0.05579804554091398,0.02789902277045699,1,"[[ 218.5  281.5]
 [ 218.5  281.5]]"
0.4018999999999998,0.00027,3.1221119845104597,0.006794582863042616,0.003397291431521308,1.5634784034095566,0.000586343965503657,0.0002931719827518285,11.79654599075209,0.0005934071330230679,0.00029670356651153397,1,"[[ 223.5  276.5]
 [ 223.5  276.5]]"
0.4019999999999998,7e-05,4.22856887161446,0.0005258112686378385,0.00026290563431891924,1.6332320162107397,0.00016531350925679393,8.265675462839696e-05,14.155930769731278,0.00016826582871517178,8.413291435758589e-05,1,"[[ 218.  282.]
 [ 218.  282.]]"
