dist,p,t,p_t_2,p_t_1,p_f_2,p_f_1
0.4,1e-05,10.858345803291012,1.7560812086938438e-18,8.780406043469219e-19,7.716841519353994e-26,3.858420759676997e-26
0.401,1e-05,9.669713270635816,6.463161589023735e-16,3.2315807945118677e-16,2.4832566330925226e-20,1.2416283165462613e-20
0.402,1e-05,6.856354213544533,8.081153317104082e-10,4.040576658552041e-10,1.4407200444579757e-12,7.203600222289878e-13
0.403,1e-05,8.229386526218946,8.580234867391926e-13,4.290117433695963e-13,4.302515972727591e-17,2.1512579863637955e-17
0.404,1e-05,12.031425404147871,7.19299381710057e-21,3.596496908550285e-21,3.2467388182654445e-28,1.6233694091327222e-28
0.405,1e-05,10.044342252758883,1.0340696674655088e-16,5.170348337327544e-17,1.2550045184545042e-26,6.275022592272521e-27
0.406,1e-05,9.91360919554672,1.9045393273761245e-16,9.522696636880622e-17,1.0619256240504304e-24,5.309628120252152e-25
0.40700000000000003,1e-05,10.787761445599214,2.849867450858391e-18,1.4249337254291954e-18,5.178590230244244e-21,2.589295115122122e-21
0.40800000000000003,1e-05,10.872224353497746,1.7780525979608985e-18,8.890262989804492e-19,3.7456912162548824e-22,1.8728456081274412e-22
0.40900000000000003,1e-05,9.834055173583911,3.5747110130522684e-16,1.7873555065261342e-16,1.7938971371076007e-19,8.969485685538004e-20
0.41000000000000003,1e-05,11.135232174146722,5.229919847489206e-19,2.614959923744603e-19,1.4384418186754206e-22,7.192209093377103e-23
0.41100000000000003,1e-05,9.454406189933682,2.2800351435110092e-15,1.1400175717555046e-15,2.442670152181595e-21,1.2213350760907975e-21
0.41200000000000003,1e-05,8.810732371107683,6.426533689154527e-14,3.2132668445772635e-14,2.6525386062376643e-16,1.3262693031188322e-16
0.41300000000000003,1e-05,7.443435151031397,3.902614136231248e-11,1.951307068115624e-11,2.0785150300426526e-17,1.0392575150213263e-17
0.41400000000000003,1e-05,10.248162842154654,4.777356081521878e-17,2.388678040760939e-17,1.565506260893554e-21,7.82753130446777e-22
0.41500000000000004,1e-05,8.915783617628593,3.1717234507264284e-14,1.5858617253632142e-14,1.1068291628016652e-16,5.534145814008326e-17
0.41600000000000004,1e-05,7.325161259696016,6.796894852501548e-11,3.398447426250774e-11,6.737767077239012e-15,3.368883538619506e-15
0.41700000000000004,1e-05,8.327726734151158,6.031438093046293e-13,3.0157190465231467e-13,2.9132033515948187e-18,1.4566016757974093e-18
0.41800000000000004,1e-05,7.769844320729332,7.869917706408196e-12,3.934958853204098e-12,1.0511667085449824e-13,5.255833542724912e-14
