,index,ID,Date,HS time,phenotype,number,freq,total,suppressors
206,207,A-14-3-3/A12-1-1 (M),8/5/17,15,L,ass,0.666666667,3,2
207,209,A-23-2-3,8/7/17,15,L,aaaaaaaaaaaaaaaaaaaaaaaaa,0,25,0
208,210,EG8040,8/7/17,15,L,asassssaasssasasssassasssasssssa,0.6875,32,22
209,211,EG8040/A23-2-3,8/7/17,15,L,40 non suppressors,0.222222222,4,4
210,212,EG8040/A17-1-3,8/8/17,15,L,32,0,0,0
211,213,A-13-3c,8/8/17,15,L,aaaaaa,0,6,0
212,214,EG8040/A-13-3c,8/8/17,15,L,33 non suppesoors,0.176470588,3,3
213,215,A-12-1-1,8/8/17,15,L,saaaaaaaaaaaa,0.076923077,13,1
214,216,EG8040/A-12-1-1,8/8/17,15,L,36 NS,0.2,1,1
215,217,A-19-1-3,8/8/17,15,L,ssaaasaaasaaasaassasaaasasa,0.37037037,27,10
216,218,EG8040/A-10-1-3,8/8/17,15,L,17 NS,0.2,1,1
217,219,A-9-1-1,8/11/17,15,L,aaaasssaasaasa,0.357142857,14,5
218,220,EG8040/A-9-1-1,8/11/17,15,L,35 NS ,0.166666667,1,1
219,221,A-13-3c,8/12/17,15,L,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,31,0
220,222,A-13-3c,8/12/17,15,L,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,31,0
221,223,A-19-1-3,8/12/17,15,L,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,31,0
222,224,A-19-1-3,8/12/17,15,L,aasasaaaaaaaaaaaaaaaaaasass,0.185185185,27,5
223,225,A-12-1-1,8/12/17,15,L,aaaaaaaaaaaaaaaaaaaaa,0,21,0
224,226,A-12-1-1,8/12/17,15,L,aaaaaaaaaaaaaaaa,0,16,0
225,227,A-19-1-3,8/14/17,1/15/00,L,aaaaaaaaaaaaaaaaaaaa,0,20,0
226,228,A-19-1-3,8/14/17,1/15/00,L,aassasaaaaaas,0.307692308,13,4
227,229,A-7-3.3,7/21/17,15,P,aaaaaaaaaaa,0,11,0
228,230,A-7-3.1,7/21/17,15,P,aaaaaaaa,0,8,0
229,231,PS7244,7/22/17,15,P,aaaaaaaaaaaaaaa,0,15,0
230,232,A-10-3a,7/22/17,15,P,aaaaaaaaaaaa,0,12,0
231,233,A-10-2a,7/22/17,15,P,aaaaaaaaaaaa,0,12,0
232,234,A-10-3b,7/22/17,15,P,aaaaaaaaaaaaa,0,13,0
233,235,A-35-2a,7/22/17,15,P,aaaaaaaaaaaaaaaa,0,16,0
234,236,A-35-2b,7/22/17,15,P,aaaaaaaaaa,0,10,0
235,237,A-35-2c,7/22/17,15,P,aaaaaaaaaaa,0,11,0
236,238,A-34-2b,7/22/17,15,P,aaaaaaaaaaaa,0,12,0
237,239,A-34-1a,7/22/17,15,P,aaaaaa,0,6,0
238,240,A-34-1c,7/22/17,15,P,aaaaaae,0,6,0
239,241,PS7244,7/22/17,15,P,aaaaaaa,0,7,0
240,242,A-13-3b,7/22/17,15,P,aaaaaaasaaaa,0.083333333,12,1
241,243,A-13-3a,7/22/17,15,P,ssaasaaaaassssssss,0.611111111,18,11
242,244,A-13-3c,7/22/17,15,P,aasaaasasss,0.454545455,11,5
243,245,A-26-3a,7/22/17,15,P,aaaaaaaaaaa,0,11,0
244,246,A-26-3c,7/22/17,15,P,aaaaaaaaaaaa,0,12,0
245,247,A-26-3b,7/22/17,15,P,aaaaaaaaaaaaa,0,13,0
246,248,A-23-2b,7/22/17,15,P,aasasaaaa,0.222222222,9,2
247,249,A-23-2c,7/22/17,15,P,aasaaaaaaass,0.25,12,3
248,250,A-23-2a,7/22/17,15,P,saasasa,0.428571429,7,3
249,251,PS7244,7/22/17,30,P,aaaaaaaaaaaa,0,12,0
250,252,A32-1b,7/22/17,30,P,aaaaaaaaaaaaaaaa,0,16,0
251,253,A-32-1a,7/22/17,30,P,aaaaaaaaa,0,9,0
252,254,A-32-1c,7/22/17,30,P,aaaaaaaaaaaaaaaaaa,0,18,0
253,255,PS7244,7/22/17,15,P,aaaaaaaaaa,0,10,0
254,256,PS5961,7/22/17,15,P,sssssss,1,7,7
255,257,A-6-2-1,7/22/17,15,P,ssssssssssss,1,12,12
256,258,A-24-2b,7/22/17,15,P,aaaaaaaaaa,0,10,0
257,259,A-24-2a,7/22/17,15,P,aaaaaaaaaaaaaaaaa,0,17,0
258,260,A-6-1a,7/22/17,15,P,ssssssssssssssss,1,16,16
259,261,A-6-2b,7/22/17,15,P,aaaaaaaaaaaaaaaaa,0,17,0
260,262,A-6-2a,7/22/17,15,P,ssssssssaassss,0.857142857,14,12
261,263,PS7244,7/22/17,30,P,aaaaaaa2,0,7,0
262,264,A-14-2-2,7/22/17,30,P,sasasssaasa,0.545454545,11,6
263,265,A-14-3-3,7/22/17,30,P,sssssssss2,0.9,9,9
264,266,A-14-3-2,7/22/17,30,P,asssssaaa,0.555555556,9,5
265,267,A-3-2a,7/22/17,30,P,sssssssssss,1,11,11
266,268,A-3-2c,7/22/17,30,P,ssssssssss,1,10,10
267,269,PS7244,7/22/17,15,P,aaaaaaaaa5,0,9,0
268,270,A-23-3-3,7/22/17,15,P,aaaaaaaaa4,0,9,0
269,271,A-23-2-3,7/22/17,15,P,sssaas,0.666666667,6,4
270,272,A-24-2-2,7/22/17,15,P,ssssssssssas,0.916666667,12,11
271,273,A-19-3-3,7/22/17,15,P,aaaaasasas,0.3,10,3
272,274,A-19-3-1,7/22/17,15,P,sssssssasasss,0.846153846,13,11
273,275,A-9-3-2,7/22/17,15,P,aaaaaaaaaaaaaaaa,0,16,0
274,276,A-3-1-1,7/22/17,15,P,aaaa,0,4,0
275,277,A-10-1-1,7/23/17,15,P,aaaaaaaa,0,8,0
276,278,A-35-2b,7/23/17,15,P,ssssss,1,6,6
277,279,A-1-2-2,7/23/17,15,P,aaaaaaaaaa,0,10,0
278,280,A-5-3-1,7/23/17,15,P,aaaaaaaaa,0,9,0
279,281,A-9-1-3,7/23/17,15,P,assssss,0.857142857,7,6
280,282,A-12-1-2,7/23/17,15,P,aaaaasssasas,0.416666667,12,5
281,283,A-12-1-1,7/23/17,15,P,aassssssssss,0.833333333,12,10
282,284,A-23-2-1,7/23/17,15,P,assssasas,0.666666667,9,6
283,285,PS7244,7/23/17,30,P,aaaaaaaa,0,8,0
