ID,Date,HS time,L,P,DL,DP,NOTE,,,
A-12-1-2,7/23/17,15,aaaaaaaaaaaaaaaaaaaaaa,aaaaasssasas,aaaaaaaaaaaaa,sssssasss,,,,
A-12-1-1,7/23/17,15,aaaaaaaaaaaaaaaaaaa,aassssssssss,aaaaaaaaaaaaaaa,aaaaaassasasssssss,,,,
A-23-2-1,7/23/17,15,aaaaaaa,assssasas,aaaaaaa,aasssss,,,,
PS7244,7/23/17,30,aaaaaaa,aaaaaaaa,,,,,,
A-14-2-3,7/23/17,30,aaaaaaaaaa,sssssss,,,,,,
PS7244,7/23/17,15,aaaaaaaa,aaaaaaaaa,,,,,,
PS7244/PS5970,7/23/17,15,aaaaaaaaaaaaaaaa,aaaaaaaaaaaaaaaaa,aaaaaaaaaaaaa,aaaaaaaaa,,,,
PS7244/+,7/23/17,15,aaaaaaaaaaaa,aaaaaaaaaaaa,aaaaaaaaa,aaaaaaaaa,,,,
A9-1-1-1,7/23/17,15,ssaaaaaaaaaaaaaa,ssssssssssssss2,aaaaaaaaaaaaaaaa,sssssssss,,,,
PS5970/A9-1-1-1,7/23/17,15,aaaaaaaaaa3,aaaaaaaaaa,aaaaaaaaaaaa,aaaaaaa,,,,
PS5970/A9-1-1-1 (M),7/23/17,15,ssasssas,aasaaaaaaaaa,,,,,,
PS5970 (M),7/23/17,15,ssssssss,aaaaaaa,,,,,,
PS5970,7/23/17,15,aaaaaaaaaaa,aaaaaaaaaa,saaaaaaasa,aaaaaaaaa,,,,
A-1-2-1,7/23/17,15,saaaaaaa,aaaaaa,aaassa,aaaaa,,,,
A-35-2c,7/23/17,15,ssssssssssss,aassaa,,,if pumping- erratic,,,
A-30-3c,7/23/17,15,aaaaaaaaaaaaaaa,saaaaaaaa,aaaaaaaaaaaaa,aaaaaa,,,,
PS7244,7/24/17,15,aaaaaaaaaaaaa,aaaaaaaaaaa,aaaaaaaaaaaaa,aaaaaaaa,,,,
PS5869,7/24/17,15,sssaasaaassssaa,ssssssssss,saasassaaaasaaaaaa,sssssssss,,,,
A-10-2c,7/24/17,15,aaaaaaaa,saasaa,aaaaaaa,aaaaaa,,,,
A-30-3c,7/24/17,15,aaaaaaaaa,aaaaaaaaa,aaaaaa,aaaaaa,,,,
A-1-3A,7/24/17,15,saaaaasaa,aaaaaaaaaa,aaaaaa,aaaa,,,,
A-17-1-2,7/24/17,15,aaaaaaaaa,aaassaasas,aaaaaaaaaa,aassasaas,,,,
A-17-1-3,7/24/17,15,asaaaaaas,saasa,aassaaas,sssssss,,,,
A-30-3a,7/24/17,15,aaaaaaaaaaa,aaaaaaa,aaaaaaaaaaaaa,aaaaaaaaaaa,,,,
A-7-3-2,7/24/17,15,ssaass,aaaaaa,ssssssss,aaaaa,,,,
A-7-2-1,7/24/17,30,aaaaaaaaaa,aaaaaaaaa,aaaaaaaaaa,aaaaaa,,,,
A-31-3c,7/24/17,30,aaaaaa,aaaaaaa,aaaaa,aaaaaa,,,,
A-31-3a,7/24/17,30,aaaaa,aaaa,aaaaaaaa,aaaa,,,,
A-7-1a,7/24/17,30,aaaaa,aaaaaaaa,sssss,aaaaa,,,,
A-31-3b,7/24/17,30,aaaaaaaaaaa,aaaaaaaaaaaaaaaa,aaaaaaaaaa,aaaaaaa,,,,
PS7244,7/24/17,15,aaaaaaa,aaaaaaaa,aaaaaaaaaa,aaaaaaa,,,,
A-15-3c,7/24/17,15,aaaaaaa,aaaaaaa,aaaaaaaaaa,aaaaaaa,,,,
A-15-3b,7/24/17,15,aaaaaaa,aaaaaa,aasaaaaaaaaaa,aaaaaaa,,,,
A-21-2,7/24/17,15,aaaaaaa,aaaaaaaaaa,aaassaa,aaaaa,,,,
PS7244,7/29/17,30,aaaaaaaaaaaaaaaaa,aaaaaaaaaaaa,saaaaaaaaasaaaaaa,aaaaaaaaaa,very easy to disturb- older,,,
A-3-2a/PS5689 (M),7/29/17,30,ssssssss,sasasss1,ssssss,assss,,,,
A-3-2a/PS5689 ,7/29/17,30,aaaaaaaaa,ssssssssssss,ssssssasa,ssssss,,,,
A-3-2a,7/29/17,30,saasasaaaaaaaaaa,sssasssssssss,ssasssssssaa,sssssssssss,,,,
A-3-2a/PS5970,7/29/17,30,aaaaaaaaaaaaaaaaa,aaaaaaaaaaa,aaaaaaassaas,aaaaaaaaaaaaaaaaa,slow moving on DT,,,
A-3-2a/PS5970 (M),7/29/17,30,ssssss,aaaaa,sssaas,aaaa,,,,
A-3-2a/PS56961,7/29/17,30,aaaaaaaaaaa,aaaaaaaaaaaa,saaaaasasas,aaaaaa,,,,
A-3-2a/PS56961 (M),7/29/17,30,ssssssss,aaaaaaaaa,sssssssss,aaaaa,males don’t move very fast,,,
PS7244/PS5961,7/29/17,30,aaaaaaaaa,aaaaaa,aaaaaaa,aaaaaa,,,,
PS7244/PS5689,7/29/17,30,aaaaas,aaaaa,aaaaaa,aaaaaa,,,,
PS7244/PS5689 (M),7/29/17,30,s,a,s,a,,,,
PS7244,7/29/17,15,asaaaaaaaaas,aaaaaaaaaaaa,aasaaasaaasaaaaaa,aaaaaaaaaaaaa,very easy to disturb- older,,,
PS7244/PS5961 (M),7/29/17,15,aaaaaaaaa,aaaaaaaa,aaasasa,aaaaaa,,,,
PS7244/PS5961,7/29/17,15,sssss,aaaa,sssssa2,aaaa,males move slower than usual,,,
PS7244/PS5689,7/29/17,15,aaaaa,aaaa,aaassa,aaaaaa,,,,
PS7244/PS5689 (M),7/29/17,15,assssasa,aaaaaaaaaaaaaaa,ssssas,aaaaaa,move slower than usual,,,
A-9-1-1,7/29/17,15,aaaaaaaaaaasas,sssssssssss,aaaaaasaasssaaaas,ssssssssss,,,,
A-9-1-1/PS5689,7/29/17,15,aaaaaaaaaa,aaaaaaaaaaa,aaasaaa,aaaaa,,,,
A-9-1-1/PS5689 (M),7/29/17,15,ssaass,aaaaa,sassass,aaaaa,,,,
A-12-1-1,7/29/17,15,aaaaaaaaaaaaaaaaaaa,aassssssassass,,,unc,,,
A-12-1-1/PS5970,7/29/17,15,asaaaaaasaaa,aaaaaaaaa,,,,,,
A-12-1-1/PS597-0 (M),7/29/17,15,sssssssa,aaaaaaa,,,,,,
A-12-1-1/PS5689,7/29/17,15,aaaaaasaa,aaaaaaaaaaaa,,,,,,
A-12-1-1/PS5689 (M),7/29/17,15,ssssss,aaaaa,,,,,,
A-12-1-1/PS5961,7/29/17,15,aaaaaaa,aaaaaaa,,,,,,
A-12-1-1/PS5961 (M),7/29/17,15,sssssssss,aaaaaaa,,,,,,
A-6-2-1,7/29/17,15,asssasssaaasss,sasssssssssss,sasssssssassssssss,ssssssssssss,very jerky,,,
A-6-2-1/PS5970,7/29/17,15,aaaaaaa,aaaa,aaasaa3,aaaaaa,,,,
A-6-2-1/PS5970 (M),7/29/17,15,ssassss,aaaaaaaaa,sssssssssa,aaaaaa,,,,
A-6-2-1/PS5689,7/29/17,15,aasaaaaa,sssssss,asssssasassass,ssssssss,,,,
A-6-2-1/PS5689 (M),7/29/17,15,sssssssss,ssssss,ssssss,ssssss,,,,
A-6-2-1/PS5961,7/29/17,15,saasas3,aaaaaa,ssssssa,aaaaa,,,,
A-6-2-1/PS5961 (M),7/29/17,15,ssssas,aaaaaaa,aasssssss,aaaa,,,,
PS7244,7/29/17,15,aaaaaaaaaaa,aaaaaaaaa,saasaaasaaaa,aaaaaaaaaa,slow moving,,,
A-7-3-3,7/29/17,15,aaaaaasaa,aaaaaaaa,ssssssass,aaaaaaaa,,,,
A-7-3-3/PS5970,7/29/17,15,aaaaaaa,aaaaaa,asaaasasaa,aaaaaaaa,,,,
A-7-3-3/PS5970 (M),7/29/17,15,sssssss,aaaaaa,sssssss,aaaa,slow moving ,,,
A-7-3-3/PS5961,7/29/17,15,aaaaaaaaa,aaaaaa,aaaasaaaaaa,aaaaaaa,,,,
A-7-3-3/PS5961 (M),7/29/17,15,saasssasss,aaaaaaaa,ssssssas,aaaaaa,,,,
A-7-3-3/PS5689,7/29/17,15,aaaaaaa,aaaaaaa,aaaaasaaa,aaaaaaa,,,,
A-7-3-3/PS5689 (M),7/29/17,15,aaassaa,aaaaaaa,aaasass,aaaaaa,,,,
PS7244,7/29/17,15,aaaaaasaaaaaa,aaaaaaaa,aasaaaa,aaaaaaaaaa,,,,
A-13-3c,7/29/17,15,aaaaaaaaaaaaa,ssssssssssasssa,aaaaaasaasaas,ssssssssssss,,,,
A-13-3c/PS5970,7/29/17,15,aaaaaa,aaaaaaaaaaaa,asaaaaa,aaaaaaaaa,,,,
A-13-3c/PS5970 (M),7/29/17,15,asssasss,aaaaaa,ssssss,aaaa,,,,
A-13-3c/PS5961,7/29/17,15,saaaaaaaaaa,aaaaaaaaaaaaa,aaaaaa,aaaaaaaaaaa,,,,
A-13-3c/PS5961 (M),7/29/17,15,saaasa,aaaaa,ssaaaas,aaaaaa,,,,
A-13-3c/PS5689,7/29/17,15,aaaaaaaaaaaaa,aaaaaaaaaaaa,aaaassaas,aaaaaaaaa,,,,
A-13-3c/PS5689 (M),7/29/17,15,aaaaa,aaaaa,asssass,aaaaaaa,super slow,,,
PS7244,7/29/17,15,aaaaaaassa,aaaaaaa,saassaa,aaaaaa,,,,
A-23-2-3,7/29/17,15,aaaaaasaaaaaaaa,ssasaasssssssssass,aaaaaaaaaaaaa,ssasssaasss,dpdy,pumping more signficant in older aniamls,,
A-23-2-3/PS5970,7/29/17,15,aaaaaaaaaa,aaaaaaaaaaaa,aaaaaaaaaaaaaa,aaaaaaaa,not dpy,,,
A-23-2-3/PS5970 (M),7/29/17,15,aaaaa,aaaa,aaaaa,aaaaaa,,,,
A-23-2-3/PS5961,7/29/17,15,aaaaaaa,aaaaaaa,aaaa,aaaa,,,,
A-23-2-3/PS5961 (M),7/29/17,15,aaaa,aaa,aaaaa,aaaaa,,,,
A-23-2-3/PS5689,7/29/17,15,aaaa,aaa,aaaaaa,aaaaaa,,,,
A-23-2-3/PS5689 (M),7/29/17,15,aaaa,aaa,aasa,aaaa,,,,
A-35-2c,7/30/17,15,ssssssaasaaass,aaaas,sssssaasaass,saaaaaaaa,very skinny,tons of young and skinny animals- not great score,,
A-35-2c/PS5689,7/30/17,15,asasaaa,aaaaaa,sassassa,aaaaaa,,,,
A-35-2c/PS5689 (M),7/30/17,15,ssassssssasss,aaaaaaaaa,sssssssssss,aaaaaaaaa,,,,
A-35-2c/PS5961,7/30/17,15,aaaaaa,aaaaaa,asaasas,aaaaaa,skinny,,,
A-35-2c/PS5961 (M),7/30/17,15,ss,aa,as,aa,,,,
A-35-2c/PS5970,7/30/17,15,aaaaaa,aaaaa,aaaaaa,aaaaaa,,,,
A-35-2c/PS5970 (M),7/30/17,15,saasas,aaaaa,sssssasss,aaaaaa,,,,
PS7244,7/30/17,15,aaaaaaaaaaaaaaa,aaaaaaaaaaaaa,asssaaaaassaaaas,aaaaaaaaaa,,,,
PS7244,7/30/17,15,aaaasaaa,aaaaaaaaa,asaaaasaaa,aaaaaaaaa,,,,
A-34-1c,7/30/17,15,aaaaaaaaa,aaaaaaaaa,ssssaaass,aaaaaaaaa,,,,
A-34-1c/PS5689,7/30/17,15,aasaaaaas,aaaa,asaasaa,aaaaaaaaaaa,,,,
A-34-1c/PS5689 (M),7/30/17,15,sssass,aaaaaa,ssssssa,aaaaaa,,,,
A-34-1c/PS5961,7/30/17,15,aaaaaasaaaa,aaaaaaaaaaa,aaaaaaaaaas,aaaaa,,,,
A-34-1c/PS5961 (M),7/30/17,15,ssssssss,aaaaaaaaaaa,ssssss,aaaaaaa,,,,
