10,100,1000,10000,100000,key
0.4,0.47,0.513,0.499,0.49915,same
0.5,0.42,0.485,0.4878,0.49995,same
0.3,0.46,0.522,0.4977,0.49761,same
0.5,0.59,0.491,0.5038,0.50155,same
0.6,0.53,0.508,0.4942,0.49913,same
0.5,0.46,0.497,0.5085,0.5013,same
0.5,0.53,0.51,0.5034,0.49775,same
0.8,0.46,0.507,0.499,0.49784,same
0.7,0.54,0.496,0.5018,0.49741,same
0.2,0.51,0.517,0.5121,0.49926,same
0.6,0.52,0.505,0.5019,0.49815,same
0.6,0.49,0.481,0.5066,0.50052,same
0.5,0.53,0.485,0.5117,0.50205,same
0.5,0.54,0.494,0.4947,0.5002,same
0.8,0.5,0.508,0.4994,0.49826,same
0.6,0.49,0.524,0.4964,0.50065,same
0.3,0.56,0.499,0.5015,0.50014,same
0.4,0.54,0.488,0.5016,0.4993,same
0.5,0.56,0.497,0.5001,0.50224,same
0.9,0.48,0.477,0.5001,0.49885,same
0.5,0.53,0.483,0.4925,0.50052,same
0.5,0.53,0.486,0.5052,0.50186,same
0.6,0.48,0.489,0.5051,0.49966,same
0.5,0.52,0.486,0.505,0.5008,same
0.2,0.56,0.491,0.4993,0.50194,same
0.2,0.59,0.498,0.5028,0.49997,same
0.6,0.52,0.494,0.4997,0.5,same
0.6,0.45,0.5,0.4968,0.49707,same
0.5,0.5,0.513,0.4982,0.49799,same
0.3,0.59,0.503,0.5002,0.49788,same
0.5,0.49,0.47,0.5035,0.49923,same
0.9,0.52,0.49,0.4977,0.49949,same
0.5,0.46,0.527,0.5011,0.49686,same
0.6,0.49,0.509,0.4944,0.50216,same
0.8,0.51,0.525,0.5067,0.49968,same
0.7,0.45,0.508,0.5005,0.49997,same
0.8,0.56,0.499,0.4965,0.50257,same
0.6,0.46,0.49,0.5073,0.49879,same
0.4,0.44,0.455,0.5012,0.5008,same
0.1,0.44,0.498,0.5023,0.49941,same
0.2,0.5,0.49,0.4952,0.50123,same
0.4,0.47,0.477,0.5008,0.4963,same
0.6,0.52,0.49,0.4944,0.49843,same
0.6,0.51,0.493,0.5053,0.50235,same
0.5,0.48,0.462,0.4995,0.50207,same
0.4,0.41,0.528,0.5011,0.50172,same
0.7,0.54,0.509,0.4981,0.50022,same
0.4,0.47,0.501,0.4995,0.49614,same
0.8,0.48,0.509,0.506,0.50097,same
0.4,0.55,0.5,0.4933,0.49954,same
0.4,0.23,0.248,0.2587,0.25596,stat
0.4,0.36,0.266,0.2581,0.25781,stat
0.1,0.25,0.23,0.2566,0.25428,stat
0.2,0.3,0.257,0.2549,0.25919,stat
0.2,0.24,0.269,0.2589,0.2589,stat
0.3,0.23,0.273,0.2571,0.2543,stat
0.1,0.29,0.227,0.2626,0.25549,stat
0.3,0.24,0.278,0.2676,0.25853,stat
0.1,0.3,0.276,0.2615,0.25745,stat
0.3,0.25,0.277,0.2552,0.25704,stat
0.1,0.23,0.257,0.2525,0.2565,stat
0.0,0.21,0.272,0.2549,0.25645,stat
0.1,0.27,0.279,0.2553,0.25769,stat
0.1,0.17,0.245,0.2631,0.25842,stat
0.2,0.16,0.257,0.2538,0.25317,stat
0.1,0.25,0.241,0.2522,0.25756,stat
0.2,0.22,0.259,0.2549,0.25579,stat
0.4,0.35,0.262,0.2574,0.25842,stat
0.2,0.18,0.231,0.2509,0.25766,stat
0.2,0.2,0.27,0.2568,0.25767,stat
0.0,0.24,0.265,0.2551,0.2557,stat
0.1,0.28,0.255,0.252,0.25861,stat
0.4,0.28,0.248,0.251,0.25715,stat
0.4,0.18,0.265,0.2562,0.25803,stat
0.3,0.26,0.24,0.2604,0.25834,stat
0.2,0.25,0.248,0.262,0.25835,stat
0.1,0.24,0.257,0.2523,0.26146,stat
0.4,0.26,0.265,0.2637,0.25602,stat
0.3,0.33,0.239,0.2543,0.25667,stat
0.3,0.24,0.262,0.2521,0.25733,stat
0.6,0.3,0.267,0.2628,0.25663,stat
0.4,0.33,0.277,0.2505,0.25866,stat
0.2,0.21,0.264,0.2675,0.25612,stat
0.1,0.19,0.242,0.2579,0.25476,stat
0.4,0.31,0.259,0.2587,0.25748,stat
0.1,0.23,0.234,0.2577,0.25697,stat
0.4,0.24,0.259,0.2628,0.25593,stat
0.4,0.28,0.267,0.249,0.25543,stat
0.2,0.27,0.266,0.263,0.25737,stat
0.2,0.23,0.24,0.2557,0.25522,stat
0.3,0.23,0.247,0.2542,0.25981,stat
0.3,0.27,0.262,0.2593,0.25835,stat
0.2,0.21,0.244,0.2578,0.25825,stat
0.1,0.26,0.282,0.2591,0.25801,stat
0.5,0.27,0.261,0.2562,0.25574,stat
0.3,0.36,0.263,0.2616,0.25688,stat
0.2,0.29,0.26,0.2571,0.25895,stat
0.3,0.25,0.269,0.2531,0.25926,stat
0.3,0.18,0.258,0.2607,0.25776,stat
