type,n,p
diff,1000,0.014
diff,1000,0.018
diff,1000,0.013
diff,1000,0.014
diff,1000,0.014
diff,1000,0.011
diff,1000,0.014
diff,1000,0.012
diff,1000,0.011
diff,1000,0.013
diff,1000,0.015
diff,1000,0.017
diff,1000,0.021
diff,1000,0.017
diff,1000,0.01
diff,1000,0.013
diff,1000,0.015
diff,1000,0.016
diff,1000,0.014
diff,1000,0.011
diff,1000,0.014
diff,1000,0.011
diff,1000,0.018
diff,1000,0.011
diff,1000,0.01
diff,1000,0.014
diff,1000,0.023
diff,1000,0.006
diff,1000,0.031
diff,1000,0.018
diff,1000,0.018
diff,1000,0.008
diff,1000,0.025
diff,1000,0.013
diff,1000,0.013
diff,1000,0.023
diff,10000,0.0134
diff,10000,0.0138
diff,10000,0.0135
diff,10000,0.0142
diff,10000,0.0137
diff,10000,0.0137
diff,10000,0.0174
diff,10000,0.015
diff,10000,0.0155
diff,10000,0.0147
diff,10000,0.0155
diff,10000,0.0163
diff,10000,0.0145
diff,10000,0.0165
diff,10000,0.0153
diff,10000,0.0153
diff,10000,0.0173
diff,10000,0.0139
diff,10000,0.0161
diff,10000,0.015
diff,10000,0.0171
diff,10000,0.0138
diff,10000,0.0144
diff,10000,0.0158
diff,10000,0.0165
diff,10000,0.0156
diff,10000,0.0126
diff,10000,0.0137
diff,10000,0.0149
diff,10000,0.0144
diff,10000,0.0152
diff,10000,0.0168
diff,10000,0.0134
diff,10000,0.0149
diff,10000,0.0136
diff,10000,0.0123
diff,10000,0.0145
diff,10000,0.0155
diff,10000,0.0154
diff,10000,0.0148
diff,10000,0.0142
diff,10000,0.0145
diff,10000,0.0143
diff,10000,0.0149
diff,10000,0.0148
diff,10000,0.0151
diff,10000,0.0146
diff,10000,0.012
diff,10000,0.0135
diff,10000,0.0158
diff,100000,0.01485
diff,100000,0.01517
diff,100000,0.01516
diff,100000,0.01517
diff,100000,0.01463
diff,100000,0.01494
diff,100000,0.01521
diff,100000,0.01499
diff,100000,0.0153
diff,100000,0.01497
diff,100000,0.0151
diff,100000,0.01441
diff,100000,0.01478
diff,100000,0.01549
diff,100000,0.01489
diff,100000,0.01543
diff,100000,0.01515
diff,100000,0.01446
diff,100000,0.01529
diff,100000,0.01518
diff,100000,0.01586
diff,100000,0.0144
diff,100000,0.01498
diff,100000,0.01509
diff,100000,0.01518
diff,100000,0.01507
diff,100000,0.01483
diff,100000,0.01483
diff,100000,0.01578
diff,100000,0.01491
diff,100000,0.01502
diff,100000,0.01455
diff,100000,0.01486
diff,100000,0.01516
diff,100000,0.01445
diff,100000,0.0151
diff,100000,0.01467
diff,100000,0.01454
diff,100000,0.01427
diff,100000,0.01477
diff,100000,0.01486
diff,100000,0.01521
diff,100000,0.01486
diff,100000,0.01516
diff,100000,0.01448
diff,100000,0.01422
diff,100000,0.0146
diff,100000,0.01512
diff,100000,0.0149
diff,100000,0.01461
