n,delta,p
100000,130,0.0
100000,130,0.0
100000,130,0.0
100000,130,0.0
100000,130,0.0
100000,130,0.0
100000,130,0.0
100000,130,0.0
100000,130,0.0
100000,130,0.0
100000,135,0.0
100000,135,0.0
100000,135,0.0
100000,135,0.0
100000,135,0.0
100000,135,0.0
100000,135,0.0
100000,135,0.0
100000,135,0.0
100000,135,0.0
100000,140,0.0
100000,140,0.0
100000,140,0.0
100000,140,0.0
100000,140,0.0
100000,140,0.0
100000,140,0.0
100000,140,0.0
100000,140,0.0
100000,140,0.0
100000,145,0.0
100000,145,0.0
100000,145,0.0
100000,145,0.0
100000,145,0.0
100000,145,0.0
100000,145,0.0
100000,145,0.0
100000,145,0.0
100000,145,0.0
100000,150,0.0
100000,150,0.0
100000,150,0.0
100000,150,0.0
100000,150,0.0
100000,150,0.0
100000,150,0.0
100000,150,0.0
100000,150,0.0
100000,150,0.0
100000,155,0.0
100000,155,0.0
100000,155,0.0
100000,155,0.0
100000,155,0.0
100000,155,0.0
100000,155,0.0
100000,155,0.0
100000,155,0.0
100000,155,0.0
100000,160,0.0
100000,160,0.0
100000,160,0.0
100000,160,0.0
100000,160,0.0
100000,160,0.0
100000,160,0.0
100000,160,0.0
100000,160,0.0
100000,160,0.0
100000,165,0.0
100000,165,0.0
100000,165,0.0
100000,165,0.0
100000,165,0.0
100000,165,0.0
100000,165,0.0
100000,165,0.0
100000,165,0.0
100000,165,0.0
100000,170,0.0
100000,170,0.0
100000,170,0.0
100000,170,0.0
100000,170,0.0
100000,170,0.0
100000,170,0.0
100000,170,0.0
100000,170,0.0
100000,170,0.0
100000,175,0.0
100000,175,0.0
100000,175,0.0
100000,175,0.0
100000,175,0.0
100000,175,0.0
100000,175,0.0
100000,175,0.0
100000,175,0.0
100000,175,0.0
100000,180,0.0
100000,180,0.0
100000,180,0.0
100000,180,0.0
100000,180,0.0
100000,180,0.0
100000,180,0.0
100000,180,0.0
100000,180,0.0
100000,180,0.0
100000,185,0.0
100000,185,0.0
100000,185,0.0
100000,185,0.0
100000,185,0.0
100000,185,0.0
100000,185,0.0
100000,185,0.0
100000,185,0.0
100000,185,0.0
100000,190,0.0
100000,190,0.0
100000,190,0.0
100000,190,0.0
100000,190,0.0
100000,190,0.0
100000,190,0.0
100000,190,0.0
100000,190,0.0
100000,190,0.0
100000,195,0.0
100000,195,0.0
100000,195,0.0
100000,195,0.0
100000,195,0.0
100000,195,0.0
100000,195,0.0
100000,195,0.0
100000,195,0.0
100000,195,0.0
