type,n,p
stat,10000,0.3509
stat,10000,0.3382
stat,10000,0.3408
stat,10000,0.3507
stat,10000,0.3478
stat,10000,0.3437
stat,10000,0.3319
stat,10000,0.3411
stat,10000,0.3491
stat,10000,0.3451
stat,10000,0.3397
stat,10000,0.3457
stat,10000,0.3405
stat,10000,0.3443
stat,100000,0.34332
stat,100000,0.34206
stat,100000,0.3438
stat,100000,0.3438
stat,100000,0.34187
stat,100000,0.34467
stat,100000,0.34334
stat,100000,0.34508
stat,100000,0.34335
stat,100000,0.34129
stat,100000,0.34022
stat,100000,0.34157
stat,100000,0.34458
stat,100000,0.34269
stat,100000,0.34027
stat,100000,0.34289
stat,100000,0.34471
stat,100000,0.34302
stat,100000,0.34258
stat,100000,0.34322
stat,100000,0.34526
stat,100000,0.34397
stat,100000,0.34443
stat,100000,0.34254
stat,100000,0.34208
stat,100000,0.34153
stat,100000,0.34116
stat,100000,0.34399
stat,100000,0.34548
stat,100000,0.34067
stat,100000,0.34475
stat,100000,0.34342
stat,100000,0.34251
stat,100000,0.34482
stat,100000,0.34391
stat,100000,0.34344
stat,100000,0.34391
stat,100000,0.34477
stat,100000,0.34315
stat,100000,0.34572
stat,100000,0.34329
stat,100000,0.34335
stat,100000,0.34418
stat,100000,0.34419
stat,100000,0.34326
stat,100000,0.34515
stat,100000,0.34505
stat,100000,0.34599
stat,100000,0.34409
stat,100000,0.34309
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,1000,0.001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,10000,0.0001
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
diff,100000,1e-05
